,record.id,best_hit_id,identity%,alignment_length,evalue,bitscore
51,sp|P01709|LV208_HUMAN,bmy_21734T0,76.271,118,3.26e-59,184
52,sp|P01721|LV657_HUMAN,bmy_21734T0,62.712,118,4.98e-40,135
53,sp|P01742|HV169_HUMAN,bmy_22659T0,51.282,117,4.11e-37,121
54,sp|P01764|HV323_HUMAN,bmy_22661T0,89.744,117,8.35e-75,222
55,sp|P01768|HV330_HUMAN,bmy_22661T0,82.051,117,7.80e-68,204
56,sp|P01772|HV333_HUMAN,bmy_22659T0,82.051,117,2.38e-66,195
57,sp|P01814|HV270_HUMAN,bmy_22102T0,54.237,118,1.17e-39,129
58,sp|P01834|IGKC_HUMAN,bmy_19800T0,34.444,90,3.50e-14,65.1
59,sp|P02652|APOA2_HUMAN,bmy_06344T0,75.000,100,3.23e-50,153
60,sp|P02655|APOC2_HUMAN,bmy_01641T0,26.087,69,6.8,25.4
61,sp|P02776|PLF4_HUMAN,bmy_19581T0,60.920,87,1.89e-26,95.5
62,sp|P02818|OSTCN_HUMAN,bmy_13153T0,34.426,61,0.32,28.1
63,sp|P03897|NU3M_HUMAN,bmy_16442T0,76.596,47,1.74e-21,84.3
64,sp|P04118|COL_HUMAN,bmy_19629T0,47.590,166,4.51e-34,115
65,sp|P04554|PRM2_HUMAN,bmy_02513T0,40.000,40,3.5,26.2
66,sp|P05114|HMGN1_HUMAN,bmy_08147T0,96.040,101,2.09e-58,174
67,sp|P05386|RLA1_HUMAN,bmy_05037T0,99.123,114,1.70e-77,223
68,sp|P05387|RLA2_HUMAN,bmy_22160T0,92.647,68,1.20e-38,126
69,sp|P06307|CCKN_HUMAN,bmy_03298T0,81.739,115,1.91e-67,197
70,sp|P06454|PTMA_HUMAN,bmy_04911T0,98.198,111,4.34e-65,194
71,sp|P06702|S10A9_HUMAN,bmy_09666T0,63.636,110,2.83e-44,140
72,sp|P08118|MSMB_HUMAN,bmy_18036T0,26.190,42,0.012,33.5
73,sp|P08493|MGP_HUMAN,bmy_01955T0,80.583,103,1.33e-50,154
74,sp|P09341|GROA_HUMAN,bmy_19582T0,58.209,67,1.25e-24,89.7
75,sp|P0C5Y9|H2AB1_HUMAN,bmy_03249T0,48.039,102,2.33e-27,97.4
76,sp|P0C5Z0|H2AB2_HUMAN,bmy_03249T0,49.020,102,1.44e-28,100
77,sp|P0CG04|IGLC1_HUMAN,bmy_19800T0,71.429,105,7.86e-48,151
78,sp|P0DOY2|IGLC2_HUMAN,bmy_19800T0,74.286,105,1.83e-49,155
79,sp|P0DOY3|IGLC3_HUMAN,bmy_19800T0,74.286,105,1.11e-49,156
80,sp|P0DP58|LYNX1_HUMAN,bmy_19694T0,97.561,41,4.83e-24,87.4
81,sp|P10599|THIO_HUMAN,bmy_04260T0,92.381,105,7.10e-70,203
82,sp|P10720|PF4V_HUMAN,bmy_19581T0,59.770,87,5.47e-27,97.1
83,sp|P12074|CX6A1_HUMAN,bmy_05746T0,83.486,109,1.22e-63,187
84,sp|P14174|MIF_HUMAN,bmy_01394T0,90.435,115,1.59e-76,221
85,sp|P14927|QCR7_HUMAN,bmy_11953T0,87.387,111,5.07e-69,201
86,sp|P17096|HMGA1_HUMAN,bmy_18974T0,84.932,73,3.69e-26,95.1
87,sp|P18077|RL35A_HUMAN,bmy_02327T0,99.091,110,6.44e-79,226
88,sp|P18859|ATP5J_HUMAN,bmy_12883T0,71.296,108,2.60e-51,156
89,sp|P19875|CXCL2_HUMAN,bmy_19582T0,57.143,70,1.97e-25,92.0
90,sp|P19876|CXCL3_HUMAN,bmy_19582T0,47.115,104,7.26e-25,90.5
91,sp|P19957|ELAF_HUMAN,bmy_08783T0,48.333,60,1.37e-12,60.1
92,sp|P20472|PRVA_HUMAN,bmy_22177T0,52.336,107,3.59e-33,110
93,sp|P23083|HV102_HUMAN,bmy_22661T0,46.154,117,4.34e-34,118
94,sp|P23763|VAMP1_HUMAN,bmy_11503T0,93.913,115,9.79e-78,224
95,sp|P26447|S10A4_HUMAN,bmy_09672T0,98.020,101,1.39e-70,204
96,sp|P27469|G0S2_HUMAN,bmy_12971T0,73.786,103,8.87e-47,144
97,sp|P30046|DOPD_HUMAN,bmy_01394T0,37.168,113,5.31e-18,72.8
98,sp|P31151|S10A7_HUMAN,bmy_09669T0,31.522,92,1.20e-11,55.5
99,sp|P31949|S10AB_HUMAN,bmy_13340T0,83.495,103,1.07e-60,181
100,sp|P33764|S10A3_HUMAN,bmy_09673T0,74.684,79,4.65e-28,98.2
101,sp|P35754|GLRX1_HUMAN,bmy_09241T0,81.132,106,4.62e-59,176
102,sp|P41567|EIF1_HUMAN,bmy_09938T0,98.230,113,1.50e-79,228
103,sp|P42830|CXCL5_HUMAN,bmy_19583T0,72.222,108,3.84e-43,137
104,sp|P47992|XCL1_HUMAN,bmy_11451T0,72.807,114,3.84e-55,166
105,sp|P49207|RL34_HUMAN,bmy_13352T0,100.000,117,2.85e-81,233
106,sp|P49901|MCSP_HUMAN,bmy_19014T0,55.385,65,2.2,26.9
107,sp|P51397|DAP1_HUMAN,bmy_01922T0,35.185,54,0.073,30.8
108,sp|P51808|DYLT3_HUMAN,bmy_15627T0,94.828,116,6.03e-81,232
109,sp|P52435|RPB11_HUMAN,bmy_17487T0,74.359,117,1.00e-53,162
110,sp|P52657|T2AG_HUMAN,bmy_19301T0,99.083,109,3.63e-77,222
111,sp|P52926|HMGA2_HUMAN,bmy_18974T0,67.442,43,1.50e-08,49.3
112,sp|P55000|SLUR1_HUMAN,bmy_19693T0,61.728,81,2.92e-31,105
113,sp|P55773|CCL23_HUMAN,bmy_02890T0,46.552,116,5.04e-26,94.0
114,sp|P55854|SUMO3_HUMAN,bmy_05423T0,93.617,94,7.31e-62,182
115,sp|P56181|NDUV3_HUMAN,bmy_22041T0,80.519,77,5.35e-37,122
116,sp|P56211|ARP19_HUMAN,bmy_18482T0,98.214,112,1.48e-77,223
117,sp|P56278|MTCP1_HUMAN,bmy_17929T0,97.196,107,2.65e-74,214
118,sp|P56279|TCL1A_HUMAN,bmy_17929T0,40.187,107,1.07e-18,74.3
119,sp|P58546|MTPN_HUMAN,bmy_17269T0,98.958,96,2.42e-65,192
120,sp|P59942|MCCD1_HUMAN,bmy_03161T0,77.311,119,4.25e-40,129
121,sp|P60329|KR124_HUMAN,bmy_00291T0,29.670,91,7.19e-04,37.0
122,sp|P60520|GBRL2_HUMAN,bmy_14465T0,97.778,90,1.40e-60,180
123,sp|P60866|RS20_HUMAN,bmy_18446T0,100.000,119,2.97e-84,240
124,sp|P61278|SMS_HUMAN,bmy_04468T0,99.138,116,3.90e-80,230
125,sp|P61457|PHS_HUMAN,bmy_16278T0,100.000,104,5.44e-76,219
126,sp|P61604|CH10_HUMAN,bmy_04436T0,97.059,102,3.59e-66,193
127,sp|P61769|B2MG_HUMAN,bmy_12686T0,73.684,95,4.32e-49,152
128,sp|P61803|DAD1_HUMAN,bmy_21503T0,98.571,70,3.63e-43,135
129,sp|P62310|LSM3_HUMAN,bmy_19602T0,100.000,102,5.93e-71,206
130,sp|P62314|SMD1_HUMAN,bmy_13657T0,100.000,109,4.24e-75,217
131,sp|P62316|SMD2_HUMAN,bmy_09458T0,93.220,118,4.67e-55,167
132,sp|P62805|H4_HUMAN,bmy_12201T0,100.000,103,1.12e-68,200
133,sp|P62854|RS26_HUMAN,bmy_03934T0,99.130,115,3.55e-79,227
134,sp|P62877|RBX1_HUMAN,bmy_00993T0,80.597,134,6.97e-74,214
135,sp|P62888|RL30_HUMAN,bmy_10834T0,99.130,115,1.08e-81,234
136,sp|P62942|FKB1A_HUMAN,bmy_08906T0,97.531,81,4.58e-55,165
137,sp|P63027|VAMP2_HUMAN,bmy_01714T0,98.261,115,3.85e-80,230
138,sp|P63165|SUMO1_HUMAN,bmy_17523T0,98.020,101,6.29e-71,205
139,sp|P63172|DYLT1_HUMAN,bmy_22210T0,98.230,113,7.41e-81,231
140,sp|P63272|SPT4H_HUMAN,bmy_03550T0,83.761,117,2.54e-66,194
141,sp|P68106|FKB1B_HUMAN,bmy_05488T0,100.000,79,4.27e-55,165
142,sp|P80162|CXCL6_HUMAN,bmy_19583T0,69.725,109,5.81e-35,116
143,sp|P80748|LV321_HUMAN,bmy_22731T0,68.750,112,2.84e-46,144
144,sp|P81605|DCD_HUMAN,bmy_09499T0,30.189,53,0.25,29.6
145,sp|P83881|RL36A_HUMAN,bmy_10084T0,100.000,106,4.81e-74,214
146,sp|P84090|ERH_HUMAN,bmy_07715T0,100.000,104,8.91e-77,222
147,sp|P99999|CYC_HUMAN,bmy_12317T0,88.571,105,1.74e-65,192
148,sp|Q00994|BEX3_HUMAN,bmy_20868T0,96.429,112,1.18e-75,222
149,sp|Q01524|DEF6_HUMAN,bmy_00510T0,34.043,47,0.68,27.7
150,sp|Q02535|ID3_HUMAN,bmy_04545T0,97.479,119,3.12e-82,235
151,sp|Q02747|GUC2A_HUMAN,bmy_19885T0,77.358,106,2.79e-42,134
152,sp|Q08648|SG11B_HUMAN,bmy_20486T0,46.000,50,3.22e-05,40.4
153,sp|Q13113|PDZ1I_HUMAN,bmy_12719T0,88.596,114,3.14e-72,210
154,sp|Q13541|4EBP1_HUMAN,bmy_07562T0,32.787,61,0.75,28.5
155,sp|Q13542|4EBP2_HUMAN,bmy_07682T0,32.500,40,0.64,28.5
156,sp|Q15004|PAF15_HUMAN,bmy_15368T0,95.122,82,8.21e-51,157
157,sp|Q15369|ELOC_HUMAN,bmy_02181T0,100.000,112,5.10e-82,234
158,sp|Q15370|ELOB_HUMAN,bmy_02737T0,97.248,109,1.54e-74,216
159,sp|Q15836|VAMP3_HUMAN,bmy_11503T0,95.588,68,6.14e-43,135
160,sp|Q16568|CART_HUMAN,bmy_09398T0,95.652,92,2.87e-61,182
161,sp|Q16655|MAR1_HUMAN,bmy_03024T0,75.510,49,2.11e-21,81.3
162,sp|Q16663|CCL15_HUMAN,bmy_02890T0,45.872,109,2.79e-26,94.4
163,sp|Q16718|NDUA5_HUMAN,bmy_21549T0,32.075,53,2.5,26.9
164,sp|Q16864|VATF_HUMAN,bmy_14121T0,99.160,119,2.02e-84,241
165,sp|Q3ZAQ7|VMA21_HUMAN,bmy_21046T0,95.050,101,2.85e-68,199
166,sp|Q53QV2|LBH_HUMAN,bmy_20944T0,92.708,96,4.16e-61,182
167,sp|Q53S33|BOLA3_HUMAN,bmy_12413T0,95.122,82,1.95e-53,161
168,sp|Q5H9J7|BEX5_HUMAN,bmy_21130T0,83.036,112,2.03e-46,144
169,sp|Q5RI15|COX20_HUMAN,bmy_11896T0,79.412,34,8.60e-12,58.2
170,sp|Q5T751|LCE1C_HUMAN,bmy_19015T0,55.814,43,0.002,35.8
171,sp|Q5T752|LCE1D_HUMAN,bmy_19015T0,55.814,43,8.77e-04,36.6
172,sp|Q5T753|LCE1E_HUMAN,bmy_19015T0,55.814,43,0.002,36.2
173,sp|Q5T754|LCE1F_HUMAN,bmy_19015T0,55.814,43,0.001,36.2
174,sp|Q5T7P2|LCE1A_HUMAN,bmy_19015T0,68.571,35,7.48e-05,39.7
175,sp|Q5T7P3|LCE1B_HUMAN,bmy_19015T0,55.814,43,0.002,36.2
176,sp|Q5TA79|LCE2A_HUMAN,bmy_19015T0,75.000,36,1.26e-07,47.4
177,sp|Q5TA81|LCE2C_HUMAN,bmy_19015T0,71.429,35,6.86e-06,42.7
178,sp|Q5TA82|LCE2D_HUMAN,bmy_19015T0,74.286,35,2.76e-07,46.6
179,sp|Q5TCM9|LCE5A_HUMAN,bmy_19015T0,78.788,33,9.68e-07,45.4
180,sp|Q5U5X0|LYRM7_HUMAN,bmy_00281T0,77.885,104,3.78e-54,163
181,sp|Q5XKP0|MIC13_HUMAN,bmy_06938T0,86.441,118,1.29e-71,208
182,sp|Q5XLA6|CAR17_HUMAN,bmy_18280T0,67.778,90,1.26e-34,121
183,sp|Q69383|REC6_HUMAN,bmy_02811T0,30.769,78,0.59,28.5
184,sp|Q6P5X5|CV039_HUMAN,bmy_02451T0,82.692,104,1.31e-58,176
185,sp|Q6RVD6|SPAT8_HUMAN,bmy_16189T0,45.161,31,0.80,28.1
186,sp|Q6UXB2|CXL17_HUMAN,bmy_22314T0,82.178,101,1.17e-58,176
187,sp|Q7RTV0|PHF5A_HUMAN,bmy_19046T0,99.091,110,7.25e-76,219
188,sp|Q86SG5|S1A7A_HUMAN,bmy_09669T0,32.609,92,4.00e-13,59.3
189,sp|Q86UU9|TKN4_HUMAN,bmy_06733T0,60.714,84,2.47e-22,89.4
190,sp|Q8NFU3|TSTD1_HUMAN,bmy_06331T0,83.333,114,2.93e-65,193
191,sp|Q96A57|TM230_HUMAN,bmy_16008T0,98.333,120,1.47e-80,231
192,sp|Q96BP2|CHCH1_HUMAN,bmy_08683T0,85.593,118,8.21e-73,211
193,sp|Q96DA6|TIM14_HUMAN,bmy_16093T0,99.138,116,3.29e-82,235
194,sp|Q96DE5|APC16_HUMAN,bmy_16735T0,99.091,110,5.12e-77,224
195,sp|Q96EL3|RM53_HUMAN,bmy_13056T0,43.750,32,0.071,31.2
196,sp|Q96FQ6|S10AG_HUMAN,bmy_09675T0,87.368,95,2.62e-58,174
197,sp|Q96I23|PREY_HUMAN,bmy_02991T0,76.316,114,3.79e-55,166
198,sp|Q96RP3|UCN2_HUMAN,bmy_16236T0,39.024,41,6.92e-05,39.3
199,sp|Q99417|MYCBP_HUMAN,bmy_02107T0,98.810,84,1.09e-54,164
200,sp|Q9BRT3|MIEN1_HUMAN,bmy_12745T0,94.783,115,1.58e-73,213
201,sp|Q9BT56|SPXN_HUMAN,bmy_11343T0,18.667,75,0.22,29.6
202,sp|Q9BTL3|RAMAC_HUMAN,bmy_11594T0,94.068,118,1.07e-78,226
203,sp|Q9BTM9|URM1_HUMAN,bmy_08148T0,95.699,93,1.46e-62,191
204,sp|Q9BU79|TM243_HUMAN,bmy_19463T0,96.739,92,3.99e-60,181
205,sp|Q9BUF7|CRUM3_HUMAN,bmy_06913T0,70.370,81,4.18e-22,83.6
206,sp|Q9BV40|VAMP8_HUMAN,bmy_21866T0,92.000,100,2.56e-64,189
207,sp|Q9BV81|EMC6_HUMAN,bmy_00204T0,99.091,110,8.48e-75,216
208,sp|Q9BW61|DDA1_HUMAN,bmy_02590T0,99.000,100,3.54e-73,213
209,sp|Q9BXV9|GON7_HUMAN,bmy_08708T0,75.000,100,1.06e-36,119
210,sp|Q9BYD5|CNFN_HUMAN,bmy_17401T0,84.821,112,1.83e-66,195
211,sp|Q9BYP8|KR171_HUMAN,bmy_00430T0,27.586,58,0.53,28.5
212,sp|Q9BYW3|DB126_HUMAN,bmy_14910T0,52.381,21,8.7,25.4
213,sp|Q9GZT3|SLIRP_HUMAN,bmy_03478T0,71.296,108,1.36e-49,152
214,sp|Q9H0R8|GBRL1_HUMAN,bmy_05513T0,100.000,117,1.95e-83,238
215,sp|Q9H4I9|EMRE_HUMAN,bmy_01026T0,89.109,101,4.99e-56,168
216,sp|Q9HCU8|DPOD4_HUMAN,bmy_07827T0,88.785,107,4.06e-65,194
217,sp|Q9HCY8|S10AE_HUMAN,bmy_09676T0,89.362,94,1.36e-58,174
218,sp|Q9HD89|RETN_HUMAN,bmy_11786T0,80.374,107,1.46e-48,149
219,sp|Q9NPA8|ENY2_HUMAN,bmy_13002T0,99.010,101,1.26e-68,199
220,sp|Q9NR00|TCIM_HUMAN,bmy_06102T0,94.737,95,1.59e-63,187
221,sp|Q9NR33|DPOE4_HUMAN,bmy_20082T0,81.452,124,1.15e-63,189
222,sp|Q9NRY2|SOSSC_HUMAN,bmy_12605T0,85.915,71,5.69e-37,119
223,sp|Q9NS64|RPRM_HUMAN,bmy_17739T0,100.000,109,4.99e-77,221
224,sp|Q9NUH8|TM14B_HUMAN,bmy_00845T0,45.055,91,1.26e-16,67.8
225,sp|Q9NWD9|BEX4_HUMAN,bmy_20863T0,76.667,120,1.98e-56,174
226,sp|Q9NZ42|PEN2_HUMAN,bmy_12295T0,99.010,101,5.63e-71,207
227,sp|Q9NZ45|CISD1_HUMAN,bmy_17644T0,89.815,108,1.05e-58,175
228,sp|Q9NZD4|AHSP_HUMAN,bmy_00709T0,68.627,102,4.62e-47,145
229,sp|Q9NZV6|MSRB1_HUMAN,bmy_02695T0,89.610,77,2.91e-45,152
230,sp|Q9P021|CRIPT_HUMAN,bmy_00325T0,94.000,50,4.05e-28,97.1
231,sp|Q9P086|MED11_HUMAN,bmy_08655T0,99.145,117,1.77e-82,236
232,sp|Q9P0S9|TM14C_HUMAN,bmy_00845T0,57.778,90,3.14e-24,87.0
233,sp|Q9UBC7|GALP_HUMAN,bmy_14638T0,41.026,39,1.6,27.3
234,sp|Q9UBD3|XCL2_HUMAN,bmy_11451T0,71.930,114,1.17e-54,165
235,sp|Q9UBF6|RBX2_HUMAN,bmy_10657T0,97.345,113,1.13e-78,226
236,sp|Q9UBU3|GHRL_HUMAN,bmy_00431T0,69.863,73,1.19e-29,101
237,sp|Q9UFG5|CS025_HUMAN,bmy_14443T0,46.154,39,5.2,26.2
238,sp|Q9UII2|ATIF1_HUMAN,bmy_08006T0,73.469,98,4.46e-46,144
239,sp|Q9UK45|LSM7_HUMAN,bmy_06689T0,97.297,74,2.87e-49,150
240,sp|Q9Y284|ASTER_HUMAN,bmy_04879T0,100.000,49,5.55e-31,103
241,sp|Q9Y2R0|COA3_HUMAN,bmy_15646T0,83.810,105,6.06e-53,160
242,sp|Q9Y2Y1|RPC10_HUMAN,bmy_01850T0,98.148,108,1.29e-79,228
243,sp|Q9Y3U8|RL36_HUMAN,bmy_06936T0,100.000,105,2.41e-72,209
244,sp|Q9Y4X3|CCL27_HUMAN,bmy_08134T0,40.000,70,1.02e-14,63.9
245,sp|Q9Y5J6|T10B_HUMAN,bmy_13093T0,96.250,80,4.54e-53,160
246,sp|Q9Y5U8|MPC1_HUMAN,bmy_22414T0,91.228,114,6.02e-76,219
247,sp|Q9Y6H6|KCNE3_HUMAN,bmy_01328T0,92.857,98,4.38e-61,185
248,sp|A0A075B6N1|TVB19_HUMAN,bmy_21187T0,62.069,87,1.02e-37,122
249,sp|A0A087WT01|TVA27_HUMAN,bmy_22622T0,48.864,88,5.06e-19,78.6
250,tr|A0A087WWR9|A0A087WWR9_HUMAN,bmy_19113T0,76.724,116,2.86e-59,182
251,sp|A0A0K0K1A5|TVB65_HUMAN,bmy_21189T0,61.165,103,4.95e-41,140
252,tr|A0A3B3IRX2|A0A3B3IRX2_HUMAN,bmy_20919T0,53.846,117,6.34e-36,119
253,tr|A0A7L9AZK5|A0A7L9AZK5_HUMAN,bmy_06420T0,92.381,105,3.62e-69,207
254,tr|A0A7L9AZP2|A0A7L9AZP2_HUMAN,bmy_06420T0,92.381,105,7.04e-70,209
255,tr|A0A7M4CF05|A0A7M4CF05_HUMAN,bmy_06420T0,93.333,105,1.45e-70,211
256,tr|A0A7M4CF18|A0A7M4CF18_HUMAN,bmy_06420T0,91.509,106,6.30e-69,207
257,tr|A0A7M4CF19|A0A7M4CF19_HUMAN,bmy_06420T0,93.137,102,3.29e-67,202
258,sp|A0PJW8|DAPL1_HUMAN,bmy_07736T0,28.723,94,0.80,28.1
259,sp|A2A2V5|SRTM1_HUMAN,bmy_03065T0,96.939,98,3.91e-56,183
260,sp|A6ZKI3|RTL8C_HUMAN,bmy_03728T0,91.150,113,6.06e-74,214
261,sp|B4DJY2|TM233_HUMAN,bmy_00150T0,54.237,59,2.56e-18,75.1
262,sp|E9PQX1|TM262_HUMAN,bmy_15888T0,27.160,81,0.32,29.6
263,tr|F8W062|F8W062_HUMAN,bmy_05744T0,81.513,119,1.80e-69,206
264,tr|I4AY87|I4AY87_HUMAN,bmy_01394T0,90.435,115,1.59e-76,221
265,tr|J3QLR4|J3QLR4_HUMAN,bmy_17568T0,91.045,67,1.25e-36,130
266,sp|O00230|CORT_HUMAN,bmy_04468T0,40.541,37,3.58e-04,36.6
267,sp|O14548|COX7R_HUMAN,bmy_00354T0,90.351,114,2.42e-76,220
268,sp|O14599|VCY2_HUMAN,bmy_04278T0,31.579,57,1.4,26.6
269,sp|O43555|GON2_HUMAN,bmy_21268T0,25.455,110,4.74e-04,37.4
270,sp|O75964|ATP5L_HUMAN,bmy_03271T0,90.291,103,4.52e-65,191
271,sp|O95164|UBL3_HUMAN,bmy_08456T0,99.091,110,4.49e-80,229
272,sp|O95178|NDUB2_HUMAN,bmy_04339T0,80.952,105,9.26e-54,164
273,sp|O95411|TIAF1_HUMAN,bmy_07300T0,32.727,55,0.80,28.1
274,sp|P01601|KVD16_HUMAN,bmy_18944T0,63.333,90,3.42e-36,119
275,sp|P01624|KV315_HUMAN,bmy_18944T0,79.348,92,3.69e-48,149
276,sp|P01703|LV140_HUMAN,bmy_21734T0,70.435,115,2.73e-48,156
277,sp|P01714|LV319_HUMAN,bmy_22731T0,75.000,112,1.02e-50,155
278,sp|P01715|LV301_HUMAN,bmy_22731T0,75.893,112,4.29e-53,161
279,sp|P01717|LV325_HUMAN,bmy_22731T0,80.357,112,9.15e-55,166
280,sp|P01718|LV327_HUMAN,bmy_22731T0,77.876,113,2.61e-52,159
281,sp|P01733|TVBL3_HUMAN,bmy_21191T0,46.610,118,2.19e-27,101
282,sp|P01743|HV146_HUMAN,bmy_22659T0,53.704,108,4.96e-39,126
283,sp|P01762|HV311_HUMAN,bmy_22661T0,80.342,117,3.83e-67,202
284,sp|P01763|HV348_HUMAN,bmy_22661T0,82.906,117,2.80e-69,208
285,sp|P01766|HV313_HUMAN,bmy_22659T0,77.586,116,3.80e-63,187
286,sp|P01767|HV353_HUMAN,bmy_22659T0,83.621,116,3.04e-67,197
287,sp|P01780|HV307_HUMAN,bmy_22661T0,81.197,117,4.47e-68,205
288,sp|P01782|HV309_HUMAN,bmy_22661T0,79.661,118,3.00e-66,200
289,sp|P01817|HV205_HUMAN,bmy_22102T0,55.556,117,2.12e-40,130
290,sp|P01825|HV459_HUMAN,bmy_22102T0,70.690,116,7.00e-55,167
291,sp|P03979|TRGV3_HUMAN,bmy_19915T0,33.333,93,1.77e-07,45.8
292,sp|P04211|LV743_HUMAN,bmy_21740T0,62.626,99,1.78e-36,129
293,sp|P04430|KV116_HUMAN,bmy_18944T0,64.444,90,1.57e-38,125
294,sp|P04432|KVD39_HUMAN,bmy_18944T0,65.934,91,7.27e-40,128
295,sp|P04433|KV311_HUMAN,bmy_18944T0,85.714,105,2.42e-53,162
296,sp|P04435|TVB79_HUMAN,bmy_21191T0,43.902,123,2.05e-27,101
297,sp|P04437|TVA29_HUMAN,bmy_19914T0,54.348,92,3.82e-29,107
298,sp|P06310|KV230_HUMAN,bmy_09039T0,80.189,106,1.24e-58,179
299,sp|P06315|KV502_HUMAN,bmy_18944T0,54.945,91,1.88e-32,109
300,sp|P0CE72|ONCO_HUMAN,bmy_22177T0,96.330,109,3.75e-74,214
301,sp|P0CF74|IGLC6_HUMAN,bmy_19800T0,72.381,105,4.56e-48,152
302,sp|P12872|MOTI_HUMAN,bmy_14349T0,80.435,92,1.53e-42,135
303,sp|P40205|NCYM_HUMAN,bmy_11586T0,32.000,75,0.099,30.8
